theme_key,theme_label
amazon_0,"discount, best, worth, actually, price, quick, simple"
amazon_1,"arrived, earlier, flawless, delivery, expected, changing, status"
amazon_2,"sending, solution, clear, support, circles, kept, electronics"
amazon_3,"delayed, package, waiting, return, process, instructions, unclear"
amazon_4,"help, useless, real, customer, service, impossible, agent"
amazon_5,"friday, fast, black, week, impressive, delivery, super"
mediamarkt_0,"accurate, info, availability, confusing, good, earlier, effortless"
mediamarkt_1,"service, felt, cheapest, confident, looked, great, purchase"
mediamarkt_2,"online, shops, expensive, bit, product, pure, slightly"
mediamarkt_3,"november, took, long, delivery, black, expected, shipping"
mediamarkt_4,"staff, explained, differences, clearly, pressure, helpful, super"
mediamarkt_5,"product, said, stock, didn, website, store, wasn"
